locality,biden,trump,biden_pct,trump_pct,youngkin,mcauliffe,pct_youngkin,pct_mcauliffe,youngkin_overperform,mcauliffe_overperform,biden_overperform,avg_pct_democrat,avg_pct_republican
CAMPBELL COUNTY,8070,21245,27,71.07,18213,4930,78.39,21.22,7.320000000000007,-5.780000000000001,5.780000000000001,24.11,74.72999999999999
CAROLINE COUNTY,7657,8336,47.01,51.18,6917,5045,57.349999999999994,41.83,6.169999999999995,-5.18,5.18,44.42,54.265
CARROLL COUNTY,2842,12659,18.16,80.88,9868,1910,83.45,16.150000000000002,2.5700000000000074,-2.009999999999998,2.009999999999998,17.155,82.16499999999999
CHARLES CITY COUNTY,2624,1761,59.09,39.65,1550,1822,45.760000000000005,53.790000000000006,6.1100000000000065,-5.299999999999997,5.299999999999997,56.440000000000005,42.705
CHARLOTTE COUNTY,2317,3815,37.43,61.62,3354,1396,70.26,29.24,8.640000000000008,-8.190000000000001,8.190000000000001,33.335,65.94
CHARLOTTESVILLE CITY,20696,3094,85.5,12.78,2774,14378,15.99,82.88,3.210000000000001,-2.6200000000000045,2.6200000000000045,84.19,14.385
CHESAPEAKE CITY,66377,58180,52.22,45.77,48079,42907,52.43,46.790000000000006,6.659999999999997,-5.429999999999993,5.429999999999993,49.505,49.1
CHESTERFIELD COUNTY,106935,93326,52.45,45.77,80889,74085,51.760000000000005,47.41,5.990000000000002,-5.040000000000006,5.040000000000006,49.93,48.765
CLARKE COUNTY,3920,5192,41.98,55.61,4642,2739,62.54,36.9,6.93,-5.079999999999998,5.079999999999998,39.44,59.075
COLONIAL HEIGHTS CITY,2972,6007,32.5,65.68,4913,1729,73.27,25.79,7.589999999999989,-6.710000000000001,6.710000000000001,29.145,69.475
COVINGTON CITY,964,1580,37.03,60.7,1198,579,66.82,32.290000000000006,6.11999999999999,-4.739999999999995,4.739999999999995,34.660000000000004,63.76
CRAIG COUNTY,587,2536,18.52,80.03,2079,400,83.16,16,3.1299999999999955,-2.5199999999999996,2.5199999999999996,17.259999999999998,81.595
CULPEPER COUNTY,10617,16012,39.15,59.05,13436,6661,66.47,32.949999999999996,7.420000000000002,-6.200000000000003,6.200000000000003,36.05,62.76
CUMBERLAND COUNTY,2227,3019,41.94,56.85,2678,1515,63.379999999999995,35.86,6.529999999999994,-6.079999999999998,6.079999999999998,38.9,60.114999999999995
DANVILLE CITY,11710,7428,60.4,38.31,5907,6872,45.92,53.42,7.609999999999999,-6.979999999999997,6.979999999999997,56.91,42.115
DICKENSON COUNTY,1503,5748,20.58,78.71,3867,934,80.31,19.4,1.6000000000000085,-1.1799999999999997,1.1799999999999997,19.99,79.50999999999999
DINWIDDIE COUNTY,6224,8695,41.24,57.61,7335,4181,63.33,36.1,5.719999999999999,-5.140000000000001,5.140000000000001,38.67,60.47
EMPORIA CITY,1612,754,67.7,31.67,723,1087,39.47,59.33,7.799999999999997,-8.370000000000005,8.370000000000005,63.515,35.57
ESSEX COUNTY,3038,3075,49.17,49.77,2684,1980,57,42.05,7.229999999999997,-7.1200000000000045,7.1200000000000045,45.61,53.385000000000005
FAIRFAX COUNTY,419943,168401,69.89,28.03,152110,286316,34.47,64.89,6.439999999999998,-5,5,67.39,31.25
FAIRFAX CITY,9174,4007,68.04,29.72,3606,6465,35.56,63.74,5.840000000000003,-4.300000000000004,4.300000000000004,65.89,32.64
FALLS CHURCH CITY,7146,1490,81.03,16.9,1590,5388,22.630000000000003,76.69,5.730000000000004,-4.340000000000003,4.340000000000003,78.86,19.765
FAUQUIER COUNTY,17565,25106,40.23,57.5,22252,11570,65.46000000000001,34.04,7.960000000000008,-6.189999999999998,6.189999999999998,37.135,61.480000000000004
FLOYD COUNTY,3004,6225,31.93,66.17,5230,2203,69.75,29.38,3.5799999999999983,-2.5500000000000007,2.5500000000000007,30.655,67.96000000000001
FLUVANNA COUNTY,7414,8155,46.81,51.48,7068,5312,56.75,42.65,5.270000000000003,-4.160000000000004,4.160000000000004,44.730000000000004,54.114999999999995
FRANKLIN COUNTY,8381,20895,28.22,70.35,17842,5894,74.82,24.71,4.469999999999999,-3.509999999999998,3.509999999999998,26.465,72.585
FRANKLIN CITY,2525,1487,62.22,36.64,1270,1680,42.83,56.660000000000004,6.189999999999998,-5.559999999999995,5.559999999999995,59.44,39.735
FREDERICK COUNTY,17207,30558,35.33,62.74,25063,11164,68.9,30.69,6.160000000000004,-4.639999999999997,4.639999999999997,33.01,65.82000000000001
FREDERICKSBURG CITY,8517,4037,66.22,31.39,3503,5402,38.77,59.790000000000006,7.380000000000003,-6.429999999999993,6.429999999999993,63.005,35.08
GALAX CITY,777,1838,29.45,69.67,1424,492,73.94000000000001,25.55,4.27000000000001,-3.8999999999999986,3.8999999999999986,27.5,71.805
GILES COUNTY,2156,6876,23.5,74.93,5788,1535,78.33,20.77,3.3999999999999915,-2.7300000000000004,2.7300000000000004,22.134999999999998,76.63
GLOUCESTER COUNTY,6964,14875,31.25,66.76,12585,4712,72.36999999999999,27.09,5.609999999999985,-4.16,4.16,29.17,69.565
GOOCHLAND COUNTY,6685,9966,39.44,58.8,9585,4910,65.86999999999999,33.74,7.069999999999993,-5.699999999999996,5.699999999999996,36.59,62.334999999999994
